Date,Close,t,y
4/21/2014,1871.89,4,7.534703895
4/17/2014,1864.85,1,7.5309359
4/16/2014,1862.31,1,7.529572932
4/15/2014,1842.98,1,7.519139106
4/14/2014,1830.61,3,7.512404524
4/11/2014,1815.69,1,7.50422084
4/10/2014,1833.08,1,7.513752891
4/9/2014,1872.18,1,7.534858806
4/8/2014,1851.96,1,7.523999817
4/7/2014,1845.04,3,7.520256236
4/4/2014,1865.09,1,7.531064588
4/3/2014,1888.77,1,7.543681103
4/2/2014,1890.9,1,7.544808185
4/1/2014,1885.52,1,7.541958924
3/31/2014,1872.34,3,7.534944264
3/28/2014,1857.62,1,7.527051377
3/27/2014,1849.04,1,7.522421864
3/26/2014,1852.56,1,7.524323745
3/25/2014,1865.62,1,7.531348717
3/24/2014,1857.44,3,7.526954475
3/21/2014,1866.52,1,7.531831014
3/20/2014,1872.01,1,7.534767999
3/19/2014,1860.77,1,7.52874566
3/18/2014,1872.25,1,7.534896195
3/17/2014,1858.83,3,7.527702537
3/14/2014,1841.13,1,7.518134793
3/13/2014,1846.34,1,7.52096058
3/12/2014,1868.2,1,7.532730679
3/11/2014,1867.63,1,7.532425526
3/10/2014,1877.17,3,7.537520603
3/7/2014,1878.04,1,7.537983959
3/6/2014,1877.03,1,7.537446019
3/5/2014,1873.81,1,7.53572907
3/4/2014,1873.91,1,7.535782436
3/3/2014,1845.73,3,7.520630142
2/28/2014,1859.45,1,7.528036024
2/27/2014,1854.29,1,7.525257152
2/26/2014,1845.16,1,7.520321274
2/25/2014,1845.12,1,7.520299595
2/24/2014,1847.61,3,7.521648191
2/21/2014,1836.25,1,7.515480727
2/20/2014,1839.78,1,7.517401278
2/19/2014,1828.75,1,7.511387952
2/18/2014,1840.76,4,7.517933809
2/14/2014,1838.63,1,7.516776008
2/13/2014,1829.83,1,7.511978345
2/12/2014,1819.26,1,7.506185104
2/11/2014,1819.75,1,7.506454408
2/10/2014,1799.84,3,7.495453051
2/7/2014,1797.02,1,7.493885016
2/6/2014,1773.43,1,7.480670803
2/5/2014,1751.64,1,7.468307771
2/4/2014,1755.2,1,7.47033809
2/3/2014,1741.89,3,7.46272601
1/31/2014,1782.59,1,7.485822642
1/30/2014,1794.19,1,7.492308946
1/29/2014,1774.2,1,7.481104896
1/28/2014,1792.5,1,7.491366572
1/27/2014,1781.56,3,7.485244664
1/24/2014,1790.29,1,7.490132897
1/23/2014,1828.46,1,7.511229361
1/22/2014,1844.86,1,7.520158673
1/21/2014,1843.8,4,7.519583938
1/17/2014,1838.7,1,7.516814079
1/16/2014,1845.89,1,7.520716825
1/15/2014,1848.38,1,7.522064859
1/14/2014,1838.88,1,7.51691197
1/13/2014,1819.2,3,7.506152123
1/10/2014,1842.37,1,7.518808065
1/9/2014,1838.13,1,7.516504029
1/8/2014,1837.49,1,7.516155789
1/7/2014,1837.88,1,7.516368012
1/6/2014,1826.77,3,7.510304659
1/3/2014,1831.37,1,7.5128196
1/2/2014,1831.98,2,7.513152628
12/31/2013,1848.36,1,7.522054038
12/30/2013,1841.07,3,7.518102203
12/27/2013,1841.4,1,7.518281431
12/26/2013,1842.02,2,7.518618075
12/24/2013,1833.32,1,7.51388381
12/23/2013,1827.99,3,7.510972282
12/20/2013,1818.32,1,7.505668277
12/19/2013,1809.6,1,7.500861105
12/18/2013,1810.65,1,7.501441176
12/17/2013,1781,1,7.484930283
12/16/2013,1786.54,3,7.488036067
12/13/2013,1775.32,1,7.481735967
12/12/2013,1775.5,1,7.481837352
12/11/2013,1782.22,1,7.485615057
12/10/2013,1802.62,1,7.496996441
12/9/2013,1808.37,3,7.500181166
12/6/2013,1805.09,1,7.498365731
12/5/2013,1785.03,1,7.487190501
12/4/2013,1792.81,1,7.4915395
12/3/2013,1795.15,1,7.492843863
12/2/2013,1800.9,3,7.496041819
11/29/2013,1805.81,2,7.498764524
11/27/2013,1807.23,1,7.499550565
11/26/2013,1802.75,1,7.497068556
11/25/2013,1802.48,3,7.496918773
11/22/2013,1804.76,1,7.498182898
11/21/2013,1795.85,1,7.493233726
11/20/2013,1781.37,1,7.48513801
11/19/2013,1787.87,1,7.488780246
11/18/2013,1791.53,3,7.490825282
11/15/2013,1798.18,1,7.494530321
11/14/2013,1790.62,1,7.490317208
11/13/2013,1782,1,7.485491608
11/12/2013,1767.69,1,7.477428888
11/11/2013,1771.89,3,7.479802052
11/8/2013,1770.61,1,7.479079399
11/7/2013,1747.15,1,7.465741168
11/6/2013,1770.49,1,7.479011623
11/5/2013,1762.97,1,7.474755166
11/4/2013,1767.93,3,7.47756465
11/1/2013,1761.64,1,7.474000472
10/31/2013,1756.54,1,7.471101244
10/30/2013,1763.31,1,7.474948004
10/29/2013,1771.95,1,7.479835914
10/28/2013,1762.11,3,7.474267234
10/25/2013,1759.77,1,7.472938398
10/24/2013,1752.07,1,7.468553225
10/23/2013,1746.38,1,7.465300353
10/22/2013,1754.67,1,7.470036084
10/21/2013,1744.66,3,7.464314973
10/18/2013,1744.5,1,7.464223261
10/17/2013,1733.15,1,7.457695841
10/16/2013,1721.54,1,7.450974518
10/15/2013,1698.06,1,7.437241702
10/14/2013,1710.14,3,7.444330517
10/11/2013,1703.2,1,7.440264114
10/10/2013,1692.56,1,7.433997455
10/9/2013,1656.4,1,7.412401852
10/8/2013,1655.45,1,7.411828154
10/7/2013,1676.12,3,7.424236878
10/4/2013,1690.5,1,7.432779622
10/3/2013,1678.66,1,7.425751135
10/2/2013,1693.87,1,7.434771131
10/1/2013,1695,1,7.43543802
9/30/2013,1681.55,3,7.427471266
9/27/2013,1691.75,1,7.433518775
9/26/2013,1698.67,1,7.437600871
9/25/2013,1692.77,1,7.434121519
9/24/2013,1697.42,1,7.43686473
9/23/2013,1701.84,3,7.439465298
9/20/2013,1709.91,1,7.444196017
9/19/2013,1722.34,1,7.45143911
9/18/2013,1725.52,1,7.453283733
9/17/2013,1704.76,1,7.441179617
9/16/2013,1697.6,3,7.436970768
9/13/2013,1687.99,1,7.431293751
9/12/2013,1683.42,1,7.428582717
9/11/2013,1689.13,1,7.431968882
9/10/2013,1683.99,1,7.428921257
9/9/2013,1671.71,3,7.421602334
9/6/2013,1655.17,1,7.411659002
9/5/2013,1655.08,1,7.411604625
9/4/2013,1653.08,1,7.410395494
9/3/2013,1639.77,4,7.402311267
8/30/2013,1632.97,1,7.398155722
8/29/2013,1638.17,1,7.401335044
8/28/2013,1634.96,1,7.399373618
8/27/2013,1630.48,1,7.396629729
8/26/2013,1656.78,3,7.412631239
8/23/2013,1663.5,1,7.416679095
8/22/2013,1656.96,1,7.412739877
8/21/2013,1642.8,1,7.404157382
8/20/2013,1652.35,1,7.409953796
8/19/2013,1646.06,3,7.406139833
8/16/2013,1655.83,1,7.412057673
8/15/2013,1661.32,1,7.415367746
8/14/2013,1685.39,1,7.42975227
8/13/2013,1694.16,1,7.434942322
8/12/2013,1689.47,3,7.432170149
8/9/2013,1691.42,1,7.433323692
8/8/2013,1697.48,1,7.436900077
8/7/2013,1690.91,1,7.433022125
8/6/2013,1697.37,1,7.436835273
8/5/2013,1707.14,3,7.442574735
8/2/2013,1709.67,1,7.444055648
8/1/2013,1706.87,1,7.442416563
7/31/2013,1685.73,1,7.429953983
7/30/2013,1685.96,1,7.430090413
7/29/2013,1685.33,3,7.429716669
7/26/2013,1691.65,1,7.433459663
7/25/2013,1690.25,1,7.432631726
7/24/2013,1685.94,1,7.430078551
